id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
17452,Rep. Jesse L. Young Of Washington State,rep-jesse-l-young-of-washington-state,approved,,,,,,,,,https://www.muckrock.com/agency/olympia-68/rep-jesse-l-young-of-washington-state-17452/,0,0,0,False,True,False,True,1,0,0,0,1,0,0,0,0,0,0,0,Olympia,Washington,l
17453,Rep. Vicki Kraft Of Washington State,rep-vicki-kraft-of-washington-state,approved,,,,,,,,,https://www.muckrock.com/agency/olympia-68/rep-vicki-kraft-of-washington-state-17453/,97,0,0,False,True,False,True,1,0,0,0,0,0,1,0,0,0,0,0,Olympia,Washington,l
17454,Rep. Brad Klippert Of Washington State,rep-brad-klippert-of-washington-state,approved,,,,,,,,,https://www.muckrock.com/agency/olympia-68/rep-brad-klippert-of-washington-state-17454/,0,0,0,False,True,False,True,1,0,0,0,0,1,0,0,0,0,0,0,Olympia,Washington,l
17455,State Rep. Gina Mosbrucker Of Washington State,state-rep-gina-mosbrucker-of-washington-state,approved,,,,,,,,,https://www.muckrock.com/agency/olympia-68/state-rep-gina-mosbrucker-of-washington-state-17455/,0,0,0,False,True,False,True,1,0,0,0,0,1,0,0,0,0,0,0,Olympia,Washington,l
17468,Alachua County State Attorney Office,alachua-county-state-attorney-office,approved,,,,,http://www.sao8.org/records.html,,,,https://www.muckrock.com/agency/gainesville-10471/alachua-county-state-attorney-office-17468/,186,100,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Gainesville,Florida,l
17551,Georgia State Parks,georgia-state-parks,approved,,,,,https://gastateparks.org/Contact,,,,https://www.muckrock.com/agency/georgia-230/georgia-state-parks-17551/,6,0,100,True,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Georgia,United States of America,s
17552,Dale Hollow Lake State Resort Park,dale-hollow-lake-state-resort-park,approved,,,,,,,,,https://www.muckrock.com/agency/burkesville-15733/dale-hollow-lake-state-resort-park-17552/,0,0,0,False,True,False,True,1,0,0,0,0,0,1,0,0,0,0,0,Burkesville,Kentucky,l
17689,San Diego State University Research Foundation,san-diego-state-university-research-foundation,approved,,,,,,,,,https://www.muckrock.com/agency/california-52/san-diego-state-university-research-foundation-17689/,23,0,100,False,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,California,United States of America,s
17742,Florida State Representative Mike Hill,florida-state-representative-mike-hill,approved,,,,,,,,,https://www.muckrock.com/agency/tallahassee-10211/florida-state-representative-mike-hill-17742/,78,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Tallahassee,Florida,l
17782,"East Tennessee State University, Johnson City",east-tennessee-state-university,approved,,,,,https://www.etsu.edu/universitycounsel/request.php,,,,https://www.muckrock.com/agency/johnson-city-30583/east-tennessee-state-university-17782/,0,0,0,False,True,True,True,1,0,0,0,0,0,1,0,0,0,0,0,Johnson City,Tennessee,l
